PH level (0-14),Hardness (mg/L),Dissolved Oxygen (mg/L),Biological Oxygen Demand (mg/L),Heavy Metals (mg/L),Nitrates (mg/L),Phosphates (mg/L),Turbidity (NTU),Conductivity (µ/cm),Water Type Probability
8.27,466.23,8.41,4.04,0.2246,35.27,0.26,89.34,1497.85,Organic
7.39,246.18,12.71,20.69,0.4405,5.03,3.63,75.02,1664.99,Inorganic
6.59,66.22,10.13,29.9,0.1763,44.78,4.46,78.56,1376.58,Inorganic
7.23,240.91,5.74,6.24,0.2987,35.76,2.12,25.95,892.42,Organic
6.03,312.04,13.52,16.2,0.3881,28.41,2.95,4.84,1635.86,Organic
7.87,417.59,13.51,29.39,0.2688,26.64,2.98,25.39,1544.84,Inorganic
6.79,281.47,11.87,26.16,0.0666,8.3,4.39,10.83,346.44,Inorganic
8.27,346.26,11.07,3.7,0.1942,0.64,2.17,75.85,1739.11,Inorganic
8.02,254.5,13.92,19.6,0.4379,30.35,1.44,70.7,553.14,Inorganic
8.17,100.19,10.81,12.92,0.3999,46.04,3.41,98.45,737.14,Organic
8.98,120.71,5.17,28.5,0.0543,41.47,0.73,11.76,705.73,Inorganic
8.64,210.33,7.7,4.01,0.0746,35.74,0.96,13.2,551.7,Organic
8.69,282.52,3.21,5.24,0.1438,22.31,3.82,90.59,864.81,Inorganic
7.04,464.69,4.69,28.66,0.1028,12.29,4.15,0.29,1171.67,Inorganic
6.67,198.47,6.55,4.73,0.3386,12.23,0.02,18.84,1882.16,Inorganic
5.55,478,2.04,9.07,0.4014,32.32,1.94,91.55,141,Inorganic
5.71,137.75,9.68,10.76,0.1633,35.96,4.26,96.57,1064.97,Organic
7.17,178.11,12.11,18.13,0.0806,30.5,1.12,19.03,1565.05,Organic
7.31,483.69,12.76,23.98,0.4672,45.45,0.99,55.84,1803.56,Inorganic
8.5,274.47,5.96,23.63,0.3599,33.36,2.17,48.89,697.77,Inorganic
8.41,369.93,10.37,19.87,0.275,24.02,2.28,10.21,1743.47,Inorganic
8.68,467.67,4.48,14.29,0.3189,23.4,1.77,3.75,73.27,Inorganic
7.64,84.41,7.23,25.12,0.3255,23.18,0.45,99.04,1636.21,Inorganic
8.69,256.88,12.71,22.26,0.342,2.17,3.99,92.72,400.91,Inorganic
7.95,449.58,2.13,5.9,0.1022,2.39,0.63,15.03,1217.74,Inorganic
8.08,475.73,12.35,7.94,0.0636,0.85,4.35,60.26,464.32,Inorganic
8.45,404.19,3.85,14.55,0.2049,23.03,0.12,68.83,264.72,Inorganic
6.66,128.31,11.22,6.35,0.4307,24.06,0.67,57.78,775.64,Organic
5.92,208.99,4.92,5.1,0.4493,49.01,3.5,75.56,1763.6,Organic
8.02,136.19,5.96,29.63,0.4684,3.26,2.53,67,1094.95,Inorganic
